id;dni;nombre;apellido
1;quantifying utilización Comunidad;estable Ensalada;Planificador withdrawal
2;Verde Borders mobile;Administrador whiteboard end-to-end;Bebes scale
3;Bricolaje Violeta;quantifying Salud quantify;Expandido Planificador
4;generate program Valenciana;Navarra;Ingeniero invoice Bahamas
5;función reboot SCSI;Configurable Virtual Aragón;Operaciones
6;Pescado;Atún Respuesta;Dominica Pelota
7;JBOD;Borders;Central Card
8;Refinado;methodologies indexing;Poblado hack
9;global Sopa Reactivo;hack;Fantástico
10;Productor Fantástico Valenciana;Credit payment Patatas;Hormigon programming implementación
