id;dni;nombre;apellido
1;Videojuegos Sierra;productize Refinado;instalación Madera
2;B2C Práctico Infraestructura;Canarias;previsión global de
3;drive Pequeño;Bricolaje Extremadura;Account innovate digital
4;Torrente withdrawal intranet;Blanco Directo systems;Metal
5;Liberia;Bicicleta de;crítica Chalet
6;Decoración 24/365;Portugal Ramal;compressing
7;analizada;alto Uruguay intermedia;Bebes GB
8;connect sensor;SMTP;virtual Plástico
9;Moda Digitalizado;bypass out-of-the-box;Franc Asimilado back-end
10;Pizza Planificador Iranian;FTP;Enfocado Práctico
